Key,Title,Description,Temporal Date From,Temporal Date To,Spatial Extent,Access Data link,Access Metadata link
TERN/436853f3-59f7-461e-907c-9883f824cff2,Tumbarumba Flux Data Release 2022_v1,"This data release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer in semi-arid eucalypt woodland using eddy covariance techniques. It been processed using PyFluxPro (v3.3.3) as described in Isaac et al. (2017), <a href=""https://doi.org/10.5194/bg-14-2903-2017"">https://doi.org/10.5194/bg-14-2903-2017</a>. PyFluxPro takes data recorded at the flux tower and process this data to a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER). For more information about the processing levels, see <a href=""https://github.com/OzFlux/PyFluxPro/wiki"">https://github.com/OzFlux/PyFluxPro/wiki</a>. <br /> <br /> The Tumbarumba flux station is located in the Bago State Forest in south eastern New South Wales. It was established in 2000 and is managed by CSIRO Marine and Atmospheric Research. The forest is classified as wet sclerophyll, the dominant species is Eucalyptus delegatensis, and average tree height is 40m. Elevation of the site is 1200m and mean annual precipitation is 1000mm. The Bago and Maragle State Forests are adjacent to the south west slopes of southern New South Wales and the 48,400 ha of native forest have been managed for wood production for over 100 years. The instrument mast is 70m tall. Fluxes of heat, water vapour and carbon dioxide are measured using the open-path eddy flux technique. Supplementary measurements above the canopy include temperature, humidity, wind speed, wind direction, rainfall, incoming and reflected shortwave radiation and net radiation. Profiles of temperature, humidity and CO2 are measured at seven levels within the canopy. Soil moisture content is measured using Time Domain reflectometry, while soil heat fluxes and temperature are also measured. Hyper-spectral radiometric measurements are being used to determine canopy leaf-level properties. The Tumbarumba flux station is supported by TERN and the DCCEE through the ACCSP. <br />For additional site information, see https://www.tern.org.au/tern-observatory/tern-ecosystem-processes/tumbarumba-wet-eucalypt-supersite/. <br /><br />",2002-01-07,2019-12-31,POINT (148.1516 -35.6566),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/Tumbarumba/2022_v1/catalog.html | https://shared.tern.org.au/rocrate/436853f3-59f7-461e-907c-9883f824cff2/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/436853f3-59f7-461e-907c-9883f824cff2
TERN/44bd4b4e-affa-4362-aad1-fe8e27025a5b,Cape Tribulation Flux Data Release 2023_v1,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.5.0) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br>The Cape Tribulation flux station was located in the land that is adjacent to the Daintree National Park which is part of the Wet Tropics World Heritage Area (WTWHA). The site is flanked to the west by coastal ranges rising to more than 1400 m and to the east by the Coral Sea. The red clay loam podzolic soils are of metamorphic origin and have good drainage characteristics. The metamorphic rocks grade into granite boulders along Thompson Creek which runs along the northern boundary of the site. The crane site itself is gently sloping but the fetch area makes the site one of very complex terrain. The forest is classed as complex mesophyll vine forest (type 1a) and has an average canopy height of 25m. The dominant canopy trees belong to the <i>Apocynaceae</i>, <i>Arecaceae</i>, <i>Euphorbiaceae</i>, <i>Lauraceae</i>, <i>Meliaceae</i>, <i>Myristicaceae</i> and <i>Myrtaceae</i> families. The forest is continuous for several kilometres around the crane except for an area 300 m due east of the crane, which is regrowth forest. Annual average rainfall at the site is around 5180 mm and is strongly seasonal, with 66% falling between January and April (wet season). Mean daily temperature ranges from 26.6 C in February to 21.2 C in July. </br> <br> Tropical cyclones are a frequent occurrence in Far North Queensland. These severe tropical storm systems are natural phenomena which play a major role in determining the ecology of Queensland's tropical lowland rainforests. In March 1999 Tropical Cyclone Rona (Category 3) passed over the Cape Tribulation area causing widespread damage (gusts >170 km/h). At the site several large trees fell, nearly all of the remaining trees were stripped of leaves and the lianas towers were torn to ground level. </br> <br> The flux station was mounted at the 45 m level on the tower of the Australian Canopy Crane external link. The canopy crane is a Liebherr 91 EC, freestanding construction tower crane. The crane is 48.5 m tall with a radius of 55 m enabling access to 1 hectare of rainforest. Fluxes of heat, water vapour and carbon dioxide were measured using the open-path eddy covariance technique. Supplementary measurements above the canopy included temperature, humidity, rainfall, total solar; these measurements have continued post the flux system decommissioning. Heat flux, soil temperature and water content (time domain reflectometry) were measured in proximity to the flux station; these measurements have continued post the flux system decommissioning. Detailed biometric measurements are made at the crane site and all trees have regular (5 yearly) dbh measurements and canopy mapping carried out. Monitoring bores (3) are located on site. Leaf litter measurements are carried out on a monthly basis.",2010-01-01,2018-11-02,POINT (145.447 -16.103219),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/CapeTribulation/2023_v1/catalog.html | https://shared.tern.org.au/rocrate/44bd4b4e-affa-4362-aad1-fe8e27025a5b/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/44bd4b4e-affa-4362-aad1-fe8e27025a5b
TERN/45f07d87-b3d8-466f-86bb-f9c427596da3,Sturt Plains Flux Data Release 2023_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.15) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br>The site is located on a low lying plain dominated by Mitchell Grass (<em>Astrebla</em> spp.). Elevation of the site is close to 250 m and mean annual precipitation at a nearby Bureau of Meteorology site is 640 mm. Maximum temperatures range from 28.4 C (in June/ July) to 39.1 C (in December), while minimum temperatures range from 11.2 C (in July) to 24.4 C (in December).</br> <br>The instrument mast is 5 m tall. Heat, water vapour and carbon dioxide measurements are taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, rainfall and net radiation are measured. Soil heat fluxes are measured and soil moisture content is gathered using time domain reflectometry.</br> <br>Ancillary measurements taken at the site include LAI, leaf-scale physiological properties (gas exchange, leaf isotope ratios, nitrogen and chlorophyll concentrations), vegetation optical properties and soil physical properties. Airborne based remote sensing (Lidar and hyperspectral measurements) was carried out at the site in September 2008. Biomass harvest measured: mean live biomass 0.00 gm<sup>-2</sup> (standard error: 0.00), mean standing dead biomass 163.42 gm<sup>-2</sup> (standard error: 16.73), mean litter biomass 148.99 gm<sup>-2</sup> (standard error: 21.32), total mean biomass 312.40 gm<sup>-2</sup> (standard error: 30.80). Soil consists of: clay 14.47%, silt 51.23%, sand 34.30%.</br>",2008-08-28,2023-07-28,POINT (133.3502 -17.1507),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/SturtPlains/2023_v2/catalog.html | https://shared.tern.org.au/rocrate/45f07d87-b3d8-466f-86bb-f9c427596da3/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/45f07d87-b3d8-466f-86bb-f9c427596da3
TERN/463f3a34-592d-4699-9b75-55772de60a87,Samford Ecological Research Facility Flux Data Release 2023_v1,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.5.0) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br>Samford flux station is situated on an improved (<em>Paspalum dilatum</em>) pasture in the humid subtropical climatic region of coastal south-east Queensland. Located only 20 km from the centre of Brisbane city, Samford Valley provides an ideal case study to examine the impact of urbanisation and land use change on ecosystem processes. The valley covers an area of some 82 km<sup>2</sup> and is drained in the southern regions by the Samford creek, which extends some 13 km to Samford Village and into the South Pine River. The Samford Valley is historically a rural area experiencing intense urbanisation, with the population increasing almost 50% in the 10 years to 2006 (Morton Bay Regional Council, 2011). Within the Samford valley study region, the Samford Ecological Research Facility (SERF) not only represents a microcosm of current and historical land uses in the valley, but provides a unique opportunity to intensively study various aspects of ecosystem health in a secure, integrated and long term research capacity. Mean annual minimum and maximum temperatures at a nearby Bureau of Meteorology site are 13.1 C and 25.6 C respectively while average rainfall is 1102 mm.</br>",2010-06-02,,POINT (152.8725 -27.3888),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/SamfordEcologicalResearchFacility/2023_v1/catalog.html | https://shared.tern.org.au/rocrate/463f3a34-592d-4699-9b75-55772de60a87/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/463f3a34-592d-4699-9b75-55772de60a87
TERN/471b4d6b-4693-4501-8288-c4215726c5a7,Great Western Woodlands Flux Data Release 2024_v1,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.17) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br><br> Great Western Woodlands (GWW) comprise a 16 million ha mosaic of temperate woodland, shrubland and mallee vegetation in south-west Western Australia. The region has remained relatively intact since European settlement, owing to the variable rainfall and lack of readily accessible groundwater. The woodland component is globally unique in that nowhere else do woodlands occur at as little as 220 mm mean annual rainfall. Further, other temperate woodlands around the world have typically become highly fragmented and degraded through agricultural use. Great Western Woodlands Site was established in 2012 in the Credo Conservation Reserve. The site is in semi-arid woodland and was operated as a pastoral lease from 1907 to 2007. The core 1 ha plot is characterised by <em>Eucalyptus salmonophloia</em> (salmon gum), with <em>Eucalyptus salubris</em> and <em>Eucalyptus clelandii</em> dominating other research plots. The flux station is located in salmon gum woodland.",2013-01-01,2024-01-01,POINT (120.6541 -30.1913),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/GreatWesternWoodlands/2024_v1/catalog.html | https://shared.tern.org.au/rocrate/471b4d6b-4693-4501-8288-c4215726c5a7/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/471b4d6b-4693-4501-8288-c4215726c5a7
TERN/4734cc1a-bd3b-4601-818f-87d405d1bfde,Daly Pasture Flux Data Release 2023_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.15) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br>The site was identified as tropical pasture dominated by species <em>Chamaecrista rotundifolia</em> (round-leaf cassia cv. Wynn), <em>Digitaria milijiana</em> (Jarra grass) and <em>Aristida sp.</em> standing at approximately 0.3 m tall. The soil at the site was a mixture of red kandosol and deep sand. Elevation of the site was close to 70 m and mean annual precipitation at a nearby Bureau of Meteorology site was 1250 mm. Maximum temperatures ranged from 37.5 C (in October) to 31.2 C (in June), while minimum temperatures ranged from 12.6 C (in July) to 23.8 C (in January). Maximum temperatures varied on a seasonal basis between 6.3 C while minimum temperatures varied by 11.2 C. <br /> <br /> The instrument mast was 15 meters tall. Heat, water vapour and carbon dioxide measurements were taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, rainfall, incoming and reflected shortwave radiation and net radiation were measured. <br />Ancillary measurements taken at the site included LAI, leaf-scale physiological properties (gas exchange, leaf isotope ratios, N and chlorophyll concentrations), vegetation optical properties and soil physical properties. Airborne based remote sensing (Lidar and hyperspectral measurements) was carried out across the transect in September 2008. <br /> The site was destroyed by fire in September 2013.</br>",2008-01-01,2013-09-08,POINT (131.3181 -14.0633),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/DalyPasture/2023_v2/catalog.html | https://shared.tern.org.au/rocrate/4734cc1a-bd3b-4601-818f-87d405d1bfde/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/4734cc1a-bd3b-4601-818f-87d405d1bfde
TERN/47807a84-87fe-49e2-922b-67d7ea57c03d,Fogg Dam Flux Data Release 2024_v1,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.17) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br><br> The site is situated within a wetland that flooded seasonally. The principal vegetation is <em>Oryza rufipogon</em>, <em>Pseudoraphis spinescens</em> and <em>Eleocharis dulcis</em>. The elevation is approximately 4 m, with a neighbouring Bureau of Meteorology station recording 1411 mm mean annual precipitation. Maximum temperatures range from 31.3 C (in June and July) to 35.6 C (in October), while minimum temperatures range from 14.9 C (in July) to 23.9 C (in December and February). Maximum temperatures vary on a seasonal basis by approximately 4.3 C and minimum temperatures by 9.0 C.<br /><br /> The instrument mast is 15 m tall. Heat, water vapour and carbon dioxide measurements are taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, rainfall, incoming and reflected shortwave radiation and net radiation are measured above the canopy. Soil heat fluxes are measured and soil moisture content is gathered using time domain reflectometry. Ancillary measurements being taken at the site include LAI, leaf-scale physiological properties (gas exchange, leaf isotope ratios, nitrogen and chlorophyll concentrations), vegetation optical properties and soil physical properties. Airborne-based remote sensing (Lidar and hyperspectral measurements) was carried out across the site in September 2008.",2006-02-07,2008-10-31,POINT (131.3072 -12.5452),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/FoggDam/2024_v1/catalog.html | https://shared.tern.org.au/rocrate/47807a84-87fe-49e2-922b-67d7ea57c03d/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/47807a84-87fe-49e2-922b-67d7ea57c03d
TERN/4ac75dc7-0a3c-4068-9edc-8e4e4aa20453,Wallaby Creek Flux Data Release 2024_v1,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.17) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br>The forest is classed as a tall, wet sclerophyll forest, and the dominant <em>Eucalyptus Regnans</em> or mountain ash trees have an average canopy height of 75 m. The site contains a chronosequence of (20, 80 and 300) stand ages that were established during fires occurring over the last 300 years. The area is assigned the IUCN Category II (National Parks) of the United Nations list of National Parks and protected areas, which means the park is primarily managed for ecosystem conservation. The catchment area is dominated by mountain ash, the world s tallest flowering plant (angiosperm). Trees can reach heights of more than 90 m in areas with high rainfall and fertile soil. Mountain ash forests are confined to the cool mountain regions with elevations ranging from 460 to 1100 m and average rainfalls of 1100 to 2000 mm/y. These trees are well distributed throughout Victoria s Central Highlands including the Otway Ranges and Strzlecki Ranges; they are also found in Tasmania. The catchment area contains a portion of the Mt. Disappointment range, the Divide and the headwaters of Wallaby Creek and Silver Creek, and much of the slopes are characterised as flat to moderate.</br> <br>The station itself is located within an old growth stand with individual trees as old as 300 years. Below the dominant canopy lies a temperate rainforest understorey consisting of <em>Pomaderris aspera</em> and <em>Olearia argophylla</em> species, which are 10 to 18 m tall. The lower layers of vegetation are dominated by tree ferns (<em>Cyathea australis</em> and <em>Dicksonia antartica</em>) and extensive tracts of rosette and rhizonic ferns (<em>Polystichum proliferum</em> and <em>Blechnum wattsii</em>) as well as acacia trees. The elevation is approximately 720 m. The major soil type within the forest is krasnozemic soils, which are friable red/brown soils, with high amounts of organic matter in the upper 20 to 30 cm. However, the composition of krasnozemic soils is not homogenous, but rather varies with altitude. Grey-yellow podsolised soils can be found at lower altitudes, while krasnozemic loams is characteristic of the higher altitudes of the Kinglake and of the Hume Plateau. The clay content of these soils increases with depth until at least 200 cm deep, where after a transition soils contain rock fragments. The climate of the study area is classified as a cool, temperate zone, with the highest temperatures occurring during the summer months of December February (13.8 to 22.5 C), whilst the coolest temperatures are experienced in May and August (4.7 to 9.2 C). Average annual precipitation is 1209 mm, with a maximum rainfall occurring in June (Ashton, 2000). The study site experiences foggy conditions after sunset during autumn and winter.</br> <br>The original station had a main mast at 110 m. This station was destroyed in February 2009 by bushfires. A replacement station was established in March 2010 and started recording in May 2010. The mast sat at a height of 5 m. The post-fire instrumentation was not as diverse as the pre-fire instrumentation.</br>",2005-08-25,2010-05-25,POINT (145.1873 -37.429),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/WallabyCreek/2024_v1/catalog.html | https://shared.tern.org.au/rocrate/4ac75dc7-0a3c-4068-9edc-8e4e4aa20453/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/4ac75dc7-0a3c-4068-9edc-8e4e4aa20453
TERN/4d36cdb7-6e73-4816-b90b-8702630fb491,Loxton Flux Data Release 2024_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.17) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br><br> The Loxton site was established in August 2008 and decommissioned in June 2009. The orchard was divided into 10 ha blocks (200 m by 500 m with the long axis aligned north south) and the flux tower was situated at 34.47035 S and 140.65512 E near the middle of the northern half of a block of trees. The topography of the site was slightly undulating and the area around the tower had a slope of less than 1.5 . The orchard was planted in 2000 with an inter-row spacing of 7 m and a within row spacing of 5 m. Tree height in August 2008 was 5.5 m. The study block consists of producers, Nonpareil, planted every other row, and pollinators planted as alternating rows of Carmel, Carmel and Peerless, and Carmel and Price. All varieties were planted on Nemaguard rootstock. All but 31 ha of the surrounding orchard was planted between 1999 and 2002. Nutrients were applied via fertigation. Dosing occurred between September and November and in April with KNO<sub>3</sub>, Urea, KCl, and NH<sub>4</sub>NO<sub>3</sub> applied at annual rates of 551, 484, 647, and 113 kg/ha, respectively. The growth of ground cover along the tree line was suppressed with herbicides throughout the year. Growth in the mid-row began in late winter and persisted until herbicide application in late November. The research was supported with funds from the National Action Plan for Salinity via the Centre for Natural Resource Management, and the River Murray Levy.",2008-08-19,2009-06-09,POINT (140.65512 -34.47035),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/Loxton/2024_v2/catalog.html | https://shared.tern.org.au/rocrate/4d36cdb7-6e73-4816-b90b-8702630fb491/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/4d36cdb7-6e73-4816-b90b-8702630fb491
TERN/4dbe5b1f-50ef-47d8-bdde-59651c650bc3,Daly Uncleared Flux Data Release 2023_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.15) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br><br> The site is woodland savanna with an overstory co-dominated by tree species <em>Eucalyptus tetrodonta</em>, <em>Corymbia latifolia</em>, <em>Terminalia grandiflora</em>, <em>Sorghum sp.</em> and <em>Heteropogon triticeus</em>. Average canopy height measures 16.4 m. Elevation of the site is close to 110 m and mean annual precipitation at a nearby Bureau of Meteorology site is 1,170 mm. Maximum temperatures range from 31.2 C (in June) to 37.5 C (in October), while minimum temperatures range from 12.6 C (in July) to 23.8 C (in January). Maximum temperatures range seasonally by 6.3 C and minimum temperatures by 11.2 C. <br /><br />The instrument mast is 23 m tall. Heat, water vapour and carbon dioxide measurements are taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, rainfall, incoming and reflected shortwave radiation and net radiation are measured above the canopy.<br /><br>Ancillary measurements taken at the site include LAI, leaf-scale physiological properties (gas exchange, leaf isotope ratios, nitrogen and chlorophyll concentrations), vegetation optical properties and soil physical properties. Airborne based remote sensing (Lidar and hyperspectral measurements) was carried out across the site in September 2008. <br /><br />",2008-01-01,2023-07-27,POINT (131.3881 -14.1592),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/DalyUncleared/2023_v2/catalog.html | https://shared.tern.org.au/rocrate/4dbe5b1f-50ef-47d8-bdde-59651c650bc3/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/4dbe5b1f-50ef-47d8-bdde-59651c650bc3
TERN/4df22600-8cc7-41ec-b4af-634f04285f29,Boyagin Flux Data Data Release 2022_v1,"This data release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer in semi-arid eucalypt woodland using eddy covariance techniques. It been processed using PyFluxPro (v3.3.3) as described in Isaac et al. (2017), <a href=""https://doi.org/10.5194/bg-14-2903-2017"">https://doi.org/10.5194/bg-14-2903-2017</a>. PyFluxPro takes data recorded at the flux tower and process this data to a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER). For more information about the processing levels, see <a href=""https://github.com/OzFlux/PyFluxPro/wiki"">https://github.com/OzFlux/PyFluxPro/wiki</a>. <br /> <br /> The flux station was established in 2017 in Wandoo Woodland, which is surrounded by broadacre farming. About 80% of the overstorey cover is <em>Eucalyptus accedens</em> Climate information comes from the nearby Pingelly BoM AWS station 010626 (1991 to 2016) and shows mean annual precipitation is approximately 445 mm with highest rainfall in June and July of 81 mm each month. Maximumum and minuimum annual rainfall is 775 and 217 mm, respectively. Maximum temperatures range from 31.9 C (in Jan) to 15.4 C (in July), while minimum temperatures range from 5.5 C (in July) to 16.0 C (in Feb). The Noongar people are the traditional owners at Boyagin. <br />For additional site information, see https://www.tern.org.au/tern-observatory/tern-ecosystem-processes/boyagin-wandoo-woodland-supersite/ . <br /><br />",2017-10-20,2021-12-31,POINT (116.938559 -32.477093),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/Boyagin/2022_v1/catalog.html | https://shared.tern.org.au/rocrate/4df22600-8cc7-41ec-b4af-634f04285f29/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/4df22600-8cc7-41ec-b4af-634f04285f29
TERN/4e7c2432-de2d-439b-ac6b-64fa82058168,Alpine Peatland Flux Data Release 2023_v2,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.4.15) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br>The Alpine Peatland flux station was established in 2017 at Heathy Spur I, an alpine sphagnum bog on the Bogong High Plains recognised by Parks Victoria as a reference ecosystem for this endangered ecological community. The vegetation is dominated by the peat-forming moss <em>Sphagnum cristatum</em>, as well as typical peatland species including candle heath (<em>Richea continentis</em>), alpine baeckea (<em>Baeckea gunniana</em>) and rope rush (<em>Empodisma minus</em>). The Alpine Peatland tower typically experiences a mild growing season from October to June and 2-3 months of snow cover from July to September.<br />",2017-04-12,2022-06-20,POINT (147.3208 -36.8607),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/AlpinePeatland/2023_v2/catalog.html | https://shared.tern.org.au/rocrate/4e7c2432-de2d-439b-ac6b-64fa82058168/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/4e7c2432-de2d-439b-ac6b-64fa82058168
TERN/50a774a2-e5be-410f-b328-e98c8d709042,Boyagin Flux Data Release 2023_v1,"<br>This release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer using eddy covariance techniques. Data were processed using PyFluxPro (v3.5.0) as described by Isaac et al. (2017). PyFluxPro produces a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER).</br> <br /> The flux station was established in 2017 in Wandoo Woodland, which is surrounded by broadacre farming. About 80% of the overstorey cover is <em>Eucalyptus accedens</em>. Climate information comes from the nearby Pingelly BOM AWS station 010626 (1991 to 2016) and shows mean annual precipitation is approximately 445 mm with highest rainfall in June and July of 81 mm each month. Maximum and minimum annual rainfall is 775 and 217 mm, respectively. Maximum temperatures range from 31.9 C (in Jan) to 15.4 C (in July), while minimum temperatures range from 5.5 C (in July) to 16.0 C (in Feb). The Noongar people are the traditional owners at Boyagin. <br />",2017-10-20,,POINT (116.938559 -32.477093),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/Boyagin/2023_v1/catalog.html | https://shared.tern.org.au/rocrate/50a774a2-e5be-410f-b328-e98c8d709042/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/50a774a2-e5be-410f-b328-e98c8d709042
TERN/51028bfd-dc33-48d8-9fc4-4784c4d59463,Great Western Woodlands Flux Data Release 2021_v1,"This data release consists of flux tower measurements of the exchange of energy and mass between the surface and the atmospheric boundary-layer in semi-arid eucalypt woodland using eddy covariance techniques. It been processed using PyFluxPro (v3.3.0) as described in Isaac et al. (2017), <a href=""https://doi.org/10.5194/bg-14-2903-2017"">https://doi.org/10.5194/bg-14-2903-2017</a>. PyFluxPro takes data recorded at the flux tower and process this data to a final, gap-filled product with Net Ecosystem Exchange (NEE) partitioned into Gross Primary Productivity (GPP) and Ecosystem Respiration (ER). For more information about the processing levels, see <a href=""https://github.com/OzFlux/PyFluxPro/wiki"">https://github.com/OzFlux/PyFluxPro/wiki</a>. <br /><br /> The Great Western Woodlands (GWW) comprise a 16 million hectare mosaic of temperate woodland, shrubland and mallee vegetation in south-west Western Australia. The region has remained relatively intact since European settlement, owing to the variable rainfall and lack of readily accessible groundwater. The woodland component is globally unique in that nowhere else do woodlands occur at as little as 220 mm mean annual rainfall. Further, other temperate woodlands around the world have typically become highly fragmented and degraded through agricultural use. The Great Western Woodlands Site was established in 2012 in the Credo Conservation Reserve. The site is in semi-arid woodland and was operated as a pastoral lease from 1907 to 2007. The core 1 ha plot is characterised by <em>Eucalyptus salmonophloia</em> (salmon gum), with <em>Eucalyptus salubris</em> and <em>Eucalyptus clelandii</em> dominating other research plots. The flux station is located in Salmon gum woodland. For additional site information, see https://www.tern.org.au/tern-observatory/tern-ecosystem-processes/great-western-woodlands-supersite/ . <br /><br />",2013-01-01,2021-09-03,POINT (120.6541 -30.1913),https://dap.tern.org.au/thredds/catalog/ecosystem_process/ozflux/GreatWesternWoodlands/2021_v1/catalog.html | https://shared.tern.org.au/rocrate/51028bfd-dc33-48d8-9fc4-4784c4d59463/download,https://geonetwork.tern.org.au/geonetwork/srv/eng/catalog.search#/metadata/51028bfd-dc33-48d8-9fc4-4784c4d59463
